english,chinese
Da'an,大安區
Wenshan,文山區
Songshan,松山區
Zhongzheng,中正區
Neihu,內湖區
Shilin,士林區
Beitou,北投區
Zhongshan,中山區
Datong,大同區
Nangang,南港區
Xinyi,信義區
Wanhua,萬華區
